Fecha,dolar_blue,dolar_blue_pronostico,dolar_oficial,dolar_oficial_pronostico
2016-04-30,15.0,15.0,15.0,15.0
2016-05-31,15.0,15.0,14.0,14.0
2016-06-30,15.0,15.0,15.0,15.0
2016-07-31,15.0,15.0,15.0,15.0
2016-08-31,15.0,15.0,15.0,15.0
2016-09-30,16.0,16.0,16.0,16.0
2016-10-31,16.0,16.0,15.0,15.0
2016-11-30,16.0,16.0,16.0,16.0
2016-12-31,17.0,17.0,16.0,16.0
2017-01-31,17.0,17.0,16.0,16.0
2017-02-28,16.0,16.0,16.0,16.0
2017-03-31,16.0,16.0,16.0,16.0
2017-04-30,16.0,16.0,16.0,16.0
2017-05-31,16.0,16.0,16.0,16.0
2017-06-30,17.0,17.0,17.0,17.0
2017-07-31,18.0,18.0,18.0,18.0
2017-08-31,18.0,18.0,18.0,18.0
2017-09-30,18.0,18.0,18.0,18.0
2017-10-31,18.0,18.0,18.0,18.0
2017-11-30,18.0,18.0,18.0,18.0
2017-12-31,19.0,19.0,19.0,19.0
2018-01-31,20.0,20.0,20.0,20.0
2018-02-28,20.0,20.0,20.0,20.0
2018-03-31,21.0,21.0,20.0,20.0
2018-04-30,21.0,21.0,21.0,21.0
2018-05-31,26.0,26.0,26.0,26.0
2018-06-30,29.0,29.0,30.0,30.0
2018-07-31,29.0,29.0,28.0,28.0
2018-08-31,39.0,39.0,39.0,39.0
2018-09-30,41.0,41.0,42.0,42.0
2018-10-31,37.0,37.0,37.0,36.99999999999999
2018-11-30,38.0,38.0,39.0,38.999999999999986
2018-12-31,40.0,40.0,39.0,38.999999999999986
2019-01-31,38.0,38.0,38.0,37.999999999999986
2019-02-28,39.0,39.0,40.0,39.999999999999986
2019-03-31,44.0,44.0,44.0,43.999999999999986
2019-04-30,46.0,46.0,45.0,44.99999999999998
2019-05-31,46.0,46.0,46.0,45.99999999999998
2019-06-30,44.0,44.0,44.0,43.99999999999998
2019-07-31,45.0,45.0,45.0,44.99999999999997
2019-08-31,63.0,62.999999999999986,62.0,61.999999999999964
2019-09-30,61.0,61.0,60.0,59.999999999999964
2019-10-31,68.0,67.99999999999999,63.0,62.999999999999964
2019-11-30,69.0,68.99999999999999,63.0,62.999999999999964
2019-12-31,78.0,77.99999999999997,63.0,62.999999999999964
2020-01-31,78.0,77.99999999999997,63.0,62.999999999999964
2020-02-29,78.0,77.99999999999997,64.0,63.99999999999996
2020-03-31,84.0,83.99999999999997,67.0,66.99999999999996
2020-04-30,120.0,119.99999999999996,69.0,68.99999999999997
2020-05-31,125.0,124.99999999999996,71.0,70.99999999999996
2020-06-30,126.0,125.99999999999996,74.0,73.99999999999994
2020-07-31,136.0,135.99999999999994,76.0,75.99999999999994
2020-08-31,136.0,135.99999999999994,78.0,77.99999999999994
2020-09-30,146.0,145.99999999999994,81.0,80.99999999999996
2020-10-31,169.0,168.99999999999991,84.0,83.99999999999994
2020-11-30,155.0,154.99999999999994,87.0,86.99999999999994
2020-12-31,166.0,165.99999999999994,90.0,89.99999999999994
