Fecha,dolar_blue,dolar_blue_pronostico,dolar_oficial,dolar_oficial_pronostico
2016-04-30,15.0,14.847335775942675,15.0,12.93052754966889
2016-05-31,15.0,14.838363116675515,14.0,13.51089595867644
2016-06-30,15.0,15.884549330879441,15.0,14.131207459149955
2016-07-31,15.0,16.0643884894357,15.0,13.19688863052233
2016-08-31,15.0,16.069980326371116,15.0,13.269964188911583
2016-09-30,16.0,16.5517217894953,16.0,15.878764706283702
2016-10-31,16.0,16.466782970307243,15.0,16.91188390728877
2016-11-30,16.0,17.295179665619685,16.0,16.463666749134223
2016-12-31,17.0,17.477585482674176,16.0,16.256737544888395
2017-01-31,17.0,17.621527581850803,16.0,16.36529469986764
2017-02-28,16.0,17.71262931781676,16.0,16.37106826451143
2017-03-31,16.0,17.696300739589883,16.0,15.47830933091377
2017-04-30,16.0,17.784278799067458,16.0,14.384504686654882
2017-05-31,16.0,18.545958824017365,16.0,14.706533985919306
2017-06-30,17.0,19.074473050472093,17.0,15.543519850775963
2017-07-31,18.0,20.33566574167745,18.0,17.47851802845687
2017-08-31,18.0,20.28360559934489,18.0,17.60431956775211
2017-09-30,18.0,20.3981538474346,18.0,17.306371852569278
2017-10-31,18.0,20.793307206651615,18.0,17.703765133536237
2017-11-30,18.0,20.744950002606107,18.0,18.23475558372408
2017-12-31,19.0,22.24070995430193,19.0,19.11967294712331
2018-01-31,20.0,23.137882363308226,20.0,18.17418535514183
2018-02-28,20.0,23.94715362106238,20.0,17.787772230009466
2018-03-31,21.0,25.619609602355776,20.0,18.94759213201325
2018-04-30,21.0,27.13527153015163,21.0,19.53463027521951
2018-05-31,26.0,29.48599196441271,26.0,20.566175121952554
2018-06-30,29.0,31.905582284138035,30.0,23.378475946244155
2018-07-31,29.0,32.10879878072117,28.0,25.456221622510377
2018-08-31,39.0,42.879983621998925,39.0,33.43656018366771
2018-09-30,41.0,44.08656677908713,42.0,33.89765108882685
2018-10-31,37.0,41.09843135433119,37.0,32.96001676429537
2018-11-30,38.0,43.94168542381708,39.0,34.76486573765429
2018-12-31,40.0,43.82843109449462,39.0,37.4841491614761
2019-01-31,38.0,43.485366182548425,38.0,37.264865072557726
2019-02-28,39.0,45.520477245313735,40.0,35.917708273940235
2019-03-31,44.0,50.13024958711283,44.0,39.26536829569649
2019-04-30,46.0,53.29817051435807,45.0,41.15943449479802
2019-05-31,46.0,52.988659352975716,46.0,41.104396727876015
2019-06-30,44.0,51.29865018168506,44.0,41.19714995507428
2019-07-31,45.0,52.79897481592343,45.0,38.417912252386984
2019-08-31,63.0,72.75719619551522,62.0,52.66313819812698
2019-09-30,61.0,75.35529728958024,60.0,56.40866928839379
2019-10-31,68.0,90.22473968127534,63.0,61.15566488383892
2019-11-30,69.0,87.4647256398184,63.0,55.44990619128585
2019-12-31,78.0,86.62428454065315,63.0,53.453897300687274
2020-01-31,78.0,96.68282189372664,63.0,60.31289047548818
2020-02-29,78.0,96.97496688917914,64.0,61.72743973715103
2020-03-31,84.0,104.76854738316985,67.0,66.82089985258108
2020-04-30,120.0,130.28545950660242,69.0,71.95684054787571
2020-05-31,125.0,124.28195723967336,71.0,67.23183111703334
2020-06-30,126.0,121.37860974494352,74.0,66.18415067595417
2020-07-31,136.0,135.16293550605533,76.0,74.61275417932467
2020-08-31,136.0,141.12477350216028,78.0,75.49765952766317
2020-09-30,146.0,152.76070171773154,81.0,75.5102371829654
2020-10-31,169.0,159.71141073210362,84.0,75.1200166811824
2020-11-30,155.0,156.85004726280178,87.0,76.4437642253493
2020-12-31,166.0,158.03276688256713,90.0,76.11812279936794
2021-01-31,153.0,162.31128348140638,93.0,82.07783062094983
2021-02-28,145.0,168.11731824780395,95.0,83.05165284299069
2021-03-31,141.0,166.79696373713642,98.0,83.72653903734681
2021-04-30,150.0,179.90601957518027,99.0,88.30632606913719
2021-05-31,157.0,185.0966304712341,100.0,91.3982689161487
2021-06-30,168.0,191.43231644181483,101.0,90.71542360592224
2021-07-31,180.0,191.50441764389797,102.0,94.10161202517463
2021-08-31,182.0,196.40361319525346,103.0,91.81207530570259
2021-09-30,186.0,201.19002409913088,104.0,95.70796290729312
2021-10-31,198.0,208.81628103059256,105.0,98.31110722196365
2021-11-30,202.0,237.97575522906445,106.0,102.78556188555648
2021-12-31,208.0,235.55780584997476,108.0,94.09099627707862
2022-01-31,213.0,266.40431324394336,111.0,102.31082699546658
2022-02-28,211.0,246.5542522528497,113.0,103.13570063435574
2022-03-31,200.0,230.2778769186478,116.0,93.54852452715285
2022-04-30,200.0,255.22863528927516,121.0,93.38249859629923
2022-05-31,206.0,257.6365785419737,125.0,94.98839843164467
2022-06-30,238.0,302.85909391769894,130.0,107.17739266065264
2022-07-31,296.0,333.0705273962985,138.0,116.41706277080499
2022-08-31,290.0,337.7266021585206,146.0,109.14539968385087
2022-09-30,288.0,359.73184319986115,154.0,106.93536517783454
2022-10-31,290.0,363.1868591712444,164.0,114.21146360131544
2022-11-30,314.0,378.6412171637126,175.0,135.2127984301157
2022-12-31,346.0,397.68112713241646,185.0,142.1213609489677
2023-01-31,381.0,417.48768602942664,194.0,139.6183051094945
2023-02-28,375.0,420.9682313862455,204.0,146.9193858093743
2023-03-31,395.0,464.83599787022587,216.0,159.21239522626863
2023-04-30,469.0,510.650231892362,230.0,172.84270567547298
2023-05-31,490.0,529.2199862282608,250.0,153.25863956284323
2023-06-30,494.0,550.4827130853998,270.0,144.75463908389133
2023-07-31,550.0,600.7017891453609,288.0,192.75920470883338
2023-08-31,735.0,783.2220678866473,367.0,263.0730252563918
2023-09-30,800.0,818.954205152467,366.9,232.66699946044508
2023-10-31,920.0,851.3293387948853,368.6,178.0543667020002
2023-11-30,905.0,830.9546793655403,376.0,183.24301809157984
2023-12-31,1025.0,984.8828315581337,828.25,249.5929194694382
2024-01-31,1195.0,1186.0348109587653,845.5,313.6311790952042
2024-02-29,1030.0,1077.2803368153207,861.0,376.27644269791733
2024-03-31,1010.0,1083.386641645886,876.0,465.67118947222207
2024-04-30,1040.0,1092.0684350297972,896.0,574.924149790346
2024-05-31,1225.0,1228.9743856367315,914.0,670.6588539329568
2024-06-30,1365.0,1315.0619383613698,930.5,762.521756555352
2024-07-31,1370.0,1286.1020557712006,951.5,866.7933917375882
2024-08-31,1305.0,1301.476822981088,972.0,937.1812261632298
2024-09-30,1235.0,1271.9857886175441,990.0,920.2351852678327
2024-10-31,1190.0,1218.5417361341913,1011.5,879.7852286083896
2024-11-30,1120.0,1175.8157627639127,1031.0,921.2658860137386
2024-12-31,1230.0,1250.374146009581,1052.5,1057.0937119694568
2025-01-31,1220.0,1254.7421949767663,1073.5,1101.1676955094053
2025-02-28,1230.0,1314.9283809464348,1084.25,1052.6246788216533
2025-03-31,1325.0,1402.1811539867376,1093.5,1344.5059254396306
2025-04-30,1185.0,1319.7200853492727,1190.0,1188.005502611535
2025-05-31,1180.0,1348.4207082275,1195.0,1092.0630213941458
2025-06-30,1215.0,1366.7075596772158,1215.0,1123.8807502861569
2025-07-31,1335.0,1506.9410356618614,1380.0,1273.5099976671431
2025-08-31,1320.0,1516.4778083770937,1360.0,1417.1150896770384
2025-09-30,,1582.0335756832922,,1459.4300322116965
2025-10-31,,1659.8006424208047,,1393.7542202717884
2025-11-30,,1719.5645400883027,,1374.2485109730972
2025-12-31,,1806.8280361514733,,1465.1729119641177
2026-01-31,,1860.1843086894298,,1545.1909484122382
