Fecha;Base
1996-01-02;13069
1996-01-03;12970
1996-01-04;13034
1996-01-05;13097
1996-01-08;13104
1996-01-09;13011
1996-01-10;12905
1996-01-11;12848
1996-01-12;12820
1996-01-15;12772
1996-01-16;12679
1996-01-17;12548
1996-01-18;12528
1996-01-19;12454
1996-01-22;12379
1996-01-23;12262
1996-01-24;12110
1996-01-25;12053
1996-01-26;11998
1996-01-29;12058
1996-01-30;12103
1996-01-31;12209
1996-02-01;12355
1996-02-02;12485
1996-02-05;12637
1996-02-06;12687
1996-02-07;12706
1996-02-08;12739
1996-02-09;12701
1996-02-12;12606
1996-02-13;12432
1996-02-14;12320
1996-02-15;12284
1996-02-16;12220
1996-02-19;12159
1996-02-20;12081
1996-02-21;11987
1996-02-22;11928
1996-02-23;11846
1996-02-26;11828
1996-02-27;11824
1996-02-28;11917
1996-02-29;12094
1996-03-01;12250
1996-03-04;12358
1996-03-05;12463
1996-03-06;12578
1996-03-07;12680
1996-03-08;12739
1996-03-11;12691
1996-03-12;12488
1996-03-13;12324
1996-03-14;12243
1996-03-15;12172
1996-03-18;12092
1996-03-19;11970
1996-03-20;11908
1996-03-21;11884
1996-03-22;11760
1996-03-25;11725
1996-03-26;11663
1996-03-27;11671
1996-03-28;11833
1996-03-29;11960
1996-04-01;12235
1996-04-02;12460
1996-04-03;12628
1996-04-08;12671
1996-04-09;12508
1996-04-10;12360
1996-04-11;12283
1996-04-12;12132
1996-04-15;12101
1996-04-16;11951
1996-04-17;11884
1996-04-18;11876
1996-04-19;11856
1996-04-22;11829
1996-04-23;11710
1996-04-24;11639
1996-04-25;11610
1996-04-26;11690
1996-04-29;11945
1996-04-30;12043
1996-05-02;12265
1996-05-03;12361
1996-05-06;12485
1996-05-07;12522
1996-05-08;12530
1996-05-09;12507
1996-05-10;12467
1996-05-13;12377
1996-05-14;12218
1996-05-15;12118
1996-05-16;12078
1996-05-17;12061
1996-05-20;12078
1996-05-21;11972
1996-05-22;11898
1996-05-23;11861
1996-05-24;11830
1996-05-27;11789
1996-05-28;11757
1996-05-29;11796
1996-05-30;12004
1996-05-31;12185
1996-06-03;12392
1996-06-04;12516
1996-06-05;12663
1996-06-06;12891
1996-06-07;12972
1996-06-11;12886
1996-06-12;12693
1996-06-13;12576
1996-06-14;12463
1996-06-18;12276
1996-06-19;12138
1996-06-20;12189
1996-06-21;12162
1996-06-24;12161
1996-06-25;12145
1996-06-26;12281
1996-06-27;12565
1996-06-28;12804
1996-07-01;13018
1996-07-02;13189
1996-07-03;13433
1996-07-04;13699
1996-07-05;13867
1996-07-08;13937
1996-07-10;13851
1996-07-11;13746
1996-07-12;13671
1996-07-15;13631
1996-07-16;13517
1996-07-17;13437
1996-07-18;13461
1996-07-19;13437
1996-07-22;13419
1996-07-23;13281
1996-07-24;13142
1996-07-25;13147
1996-07-26;13075
1996-07-29;13150
1996-07-30;13141
1996-07-31;13220
1996-08-01;13282
1996-08-02;13354
1996-08-05;13441
1996-08-06;13487
1996-08-07;13569
1996-08-08;13541
1996-08-09;13484
1996-08-12;13372
1996-08-13;13142
1996-08-14;12954
1996-08-15;12844
1996-08-16;12763
1996-08-20;12693
1996-08-21;12538
1996-08-22;12427
1996-08-23;12345
1996-08-26;12259
1996-08-27;12165
1996-08-28;12147
1996-08-29;12248
1996-08-30;12379
1996-09-02;12515
1996-09-03;12570
1996-09-04;12703
1996-09-05;12875
1996-09-06;12972
1996-09-09;12947
1996-09-10;12762
1996-09-11;12614
1996-09-12;12538
1996-09-13;12450
1996-09-16;12390
1996-09-17;12258
1996-09-18;12191
1996-09-19;12153
1996-09-20;12131
1996-09-23;12081
1996-09-24;12036
1996-09-25;12084
1996-09-26;12097
1996-09-27;12077
1996-09-30;12222
1996-10-01;12310
1996-10-02;12394
1996-10-03;12560
1996-10-04;12736
1996-10-07;12808
1996-10-08;12706
1996-10-09;12595
1996-10-10;12546
1996-10-11;12478
1996-10-14;12324
1996-10-15;12254
1996-10-16;12169
1996-10-17;12134
1996-10-18;12122
1996-10-21;12080
1996-10-22;11933
1996-10-23;11826
1996-10-24;11737
1996-10-25;11669
1996-10-28;11650
1996-10-29;11667
1996-10-30;11752
1996-10-31;11881
1996-11-01;12044
1996-11-04;12264
1996-11-05;12409
1996-11-06;12453
1996-11-07;12623
1996-11-08;12660
1996-11-11;12598
1996-11-12;12419
1996-11-13;12275
1996-11-14;12194
1996-11-15;12156
1996-11-18;12110
1996-11-19;12011
1996-11-20;11971
1996-11-21;11938
1996-11-22;11904
1996-11-25;11836
1996-11-26;11786
1996-11-27;11802
1996-11-28;11908
1996-11-29;12062
1996-12-02;12218
1996-12-03;12375
1996-12-04;12587
1996-12-05;12785
1996-12-06;12892
1996-12-09;12940
1996-12-10;12816
1996-12-11;12758
1996-12-12;12752
1996-12-13;12740
1996-12-16;12777
1996-12-17;12743
1996-12-18;12830
1996-12-19;13113
1996-12-20;13456
1996-12-23;13785
1996-12-24;13802
1996-12-26;13812
1996-12-27;13925
1996-12-30;14030
1997-01-02;14085
1997-01-03;14040
1997-01-06;14056
1997-01-07;14025
1997-01-08;13985
1997-01-09;13942
1997-01-10;13920
1997-01-13;13901
1997-01-14;13757
1997-01-15;13667
1997-01-16;13650
1997-01-17;13606
1997-01-20;13597
1997-01-21;13431
1997-01-22;13284
1997-01-23;13176
1997-01-24;13048
1997-01-27;12989
1997-01-28;12931
1997-01-29;12927
1997-01-30;13031
1997-01-31;13195
1997-02-03;13364
1997-02-04;13455
1997-02-05;13547
1997-02-06;13668
1997-02-07;13733
1997-02-10;13700
1997-02-11;13546
1997-02-12;13424
1997-02-13;13351
1997-02-14;13266
1997-02-17;13245
1997-02-18;13130
1997-02-19;13068
1997-02-20;13041
1997-02-21;12991
1997-02-24;12974
1997-02-25;12864
1997-02-26;12888
1997-02-27;12999
1997-02-28;13144
1997-03-03;13288
1997-03-04;13372
1997-03-05;13508
1997-03-06;13700
1997-03-07;13783
1997-03-10;13770
1997-03-11;13589
1997-03-12;13468
1997-03-13;13407
1997-03-14;13360
1997-03-17;13328
1997-03-18;13184
1997-03-19;13119
1997-03-20;13125
1997-03-21;13124
1997-03-24;13171
1997-03-25;13247
1997-03-26;13326
1997-03-31;13371
1997-04-01;13332
1997-04-02;13399
1997-04-03;13538
1997-04-04;13692
1997-04-07;13793
1997-04-08;13717
1997-04-09;13668
1997-04-10;13648
1997-04-11;13592
1997-04-14;13528
1997-04-15;13409
1997-04-16;13327
1997-04-17;13283
1997-04-18;13268
1997-04-21;13231
1997-04-22;13095
1997-04-23;12990
1997-04-24;12932
1997-04-25;12888
1997-04-28;12958
1997-04-29;13037
1997-04-30;13222
1997-05-02;13412
1997-05-05;13591
1997-05-06;13654
1997-05-07;13742
1997-05-08;13814
1997-05-09;13829
1997-05-12;13786
1997-05-13;13630
1997-05-14;13529
1997-05-15;13471
1997-05-16;13438
1997-05-19;13421
1997-05-20;13323
1997-05-21;13278
1997-05-22;13256
1997-05-23;13226
1997-05-26;13199
1997-05-27;13136
1997-05-28;13153
1997-05-29;13287
1997-05-30;13440
1997-06-02;13619
1997-06-03;13745
1997-06-04;13870
1997-06-05;14085
1997-06-06;14247
1997-06-10;14233
1997-06-11;14100
1997-06-12;13998
1997-06-13;13876
1997-06-17;13808
1997-06-18;13659
1997-06-19;13590
1997-06-20;13562
1997-06-23;13556
1997-06-24;13484
1997-06-25;13485
1997-06-26;13609
1997-06-27;13809
1997-06-30;14041
1997-07-01;14226
1997-07-02;14413
1997-07-03;14717
1997-07-04;14996
1997-07-07;15151
1997-07-08;15161
1997-07-10;15181
1997-07-11;15113
1997-07-14;15024
1997-07-15;14869
1997-07-16;14758
1997-07-17;14755
1997-07-18;14790
1997-07-21;14769
1997-07-22;14645
1997-07-23;14546
1997-07-24;14469
1997-07-25;14359
1997-07-28;14330
1997-07-29;14298
1997-07-30;14380
1997-07-31;14526
1997-08-01;14652
1997-08-04;14794
1997-08-05;14837
1997-08-06;14960
1997-08-07;15043
1997-08-08;15058
1997-08-11;15033
1997-08-12;14853
1997-08-13;14717
1997-08-14;14650
1997-08-15;14595
1997-08-19;14501
1997-08-20;14352
1997-08-21;14300
1997-08-22;14196
1997-08-25;14152
1997-08-26;14041
1997-08-27;14041
1997-08-28;14135
1997-08-29;14295
1997-09-01;14435
1997-09-02;14518
1997-09-03;14642
1997-09-04;14777
1997-09-05;14900
1997-09-08;14926
1997-09-09;14827
1997-09-10;14774
1997-09-11;14705
1997-09-12;14635
1997-09-15;14589
1997-09-16;14437
1997-09-17;14338
1997-09-18;14304
1997-09-19;14259
1997-09-22;14228
1997-09-23;14064
1997-09-24;13969
1997-09-25;13946
1997-09-26;13987
1997-09-29;14077
1997-09-30;14192
1997-10-01;14341
1997-10-02;14534
1997-10-03;14711
1997-10-06;14860
1997-10-07;14878
1997-10-08;14837
1997-10-09;14854
1997-10-10;14842
1997-10-13;14775
1997-10-14;14601
1997-10-15;14513
1997-10-16;14472
1997-10-17;14443
1997-10-20;14413
1997-10-21;14295
1997-10-22;14221
1997-10-23;14151
1997-10-24;14082
1997-10-27;14035
1997-10-28;13943
1997-10-29;13951
1997-10-30;14060
1997-10-31;14216
1997-11-03;14439
1997-11-04;14466
1997-11-05;14616
1997-11-06;14729
1997-11-07;14855
1997-11-10;14833
1997-11-11;14654
1997-11-12;14537
1997-11-13;14477
1997-11-14;14388
1997-11-17;14330
1997-11-18;14185
1997-11-19;14121
1997-11-20;14097
1997-11-21;14042
1997-11-24;13991
1997-11-25;13887
1997-11-26;13875
1997-11-27;14001
1997-11-28;14186
1997-12-01;14365
1997-12-02;14453
1997-12-03;14586
1997-12-04;14807
1997-12-05;14963
1997-12-09;14996
1997-12-10;14891
1997-12-11;14812
1997-12-12;14787
1997-12-15;14798
1997-12-16;14758
1997-12-17;14765
1997-12-18;14963
1997-12-19;15196
1997-12-22;15566
1997-12-23;15773
1997-12-24;15844
1997-12-26;15845
1997-12-29;15899
1997-12-31;15966
1998-01-02;15982
1998-01-05;15929
1998-01-06;15876
1998-01-07;15880
1998-01-08;15887
1998-01-09;15864
1998-01-12;15786
1998-01-13;15557
1998-01-14;15401
1998-01-15;15280
1998-01-16;15192
1998-01-19;15126
1998-01-20;14998
1998-01-21;14879
1998-01-22;14807
1998-01-23;14760
1998-01-26;14701
1998-01-27;14590
1998-01-28;14524
1998-01-29;14585
1998-01-30;14715
1998-02-02;14871
1998-02-03;14954
1998-02-04;15036
1998-02-05;15211
1998-02-06;15300
1998-02-09;15326
1998-02-10;15216
1998-02-11;15119
1998-02-12;15042
1998-02-13;14968
1998-02-16;14908
1998-02-17;14765
1998-02-18;14659
1998-02-19;14607
1998-02-20;14586
1998-02-23;14524
1998-02-24;14409
1998-02-25;14362
1998-02-26;14431
1998-02-27;14575
1998-03-02;14728
1998-03-03;14780
1998-03-04;14882
1998-03-05;15073
1998-03-06;15211
1998-03-09;15235
1998-03-10;15136
1998-03-11;15004
1998-03-12;14962
1998-03-13;14863
1998-03-16;14807
1998-03-17;14669
1998-03-18;14572
1998-03-19;14559
1998-03-20;14530
1998-03-23;14478
