Fecha;Lebac
2001-06-01;577
2001-06-04;879
2001-06-05;977
2001-06-06;1067
2001-06-07;1080
2001-06-08;1643
2001-06-11;1763
2001-06-12;1968
2001-06-13;2090
2001-06-14;2101
2001-06-15;1657
2001-06-19;2196
2001-06-20;2134
2001-06-21;1865
2001-06-22;1677
2001-06-25;1878
2001-06-26;1801
2001-06-27;1582
2001-06-28;1410
2001-06-29;1354
2001-07-02;1649
2001-07-03;1869
2001-07-04;1462
2001-07-05;1436
2001-07-06;1319
2001-07-10;1726
2001-07-11;1530
2001-07-12;1552
2001-07-13;1840
2001-07-16;1462
2001-07-17;1740
2001-07-18;1440
2001-07-19;1350
2001-07-20;1560
2001-07-23;1528
2001-07-24;1410
2001-07-25;1275
2001-07-26;1134
2001-07-27;1103
2001-07-30;1161
2001-07-31;1321
2001-08-01;1247
2001-08-02;1229
2001-08-03;874
2001-08-06;1036
2001-08-07;1117
2001-08-08;1088
2001-08-09;1293
2001-08-10;1161
2001-08-13;1294
2001-08-14;1304
2001-08-15;1461
2001-08-16;1466
2001-08-17;1369
2001-08-21;1368
2001-08-22;1394
2001-08-23;1599
2001-08-24;1595
2001-08-27;1684
2001-08-28;1552
2001-08-29;1666
2001-08-30;1161
2001-08-31;1127
2001-09-03;1157
2001-09-04;1145
2001-09-05;1126
2001-09-06;1217
2001-09-07;1188
2001-09-10;1216
2001-09-11;1421
2001-09-12;1420
2001-09-13;1575
2001-09-14;1485
2001-09-17;1379
2001-09-18;1722
2001-09-19;1392
2001-09-20;1486
2001-09-21;1494
2001-09-24;2474
2001-09-25;2026
2001-09-26;1776
2001-09-27;1591
2001-09-28;1329
2001-10-01;1207
2001-10-02;1404
2001-10-03;1220
2001-10-04;1118
2001-10-05;1185
2001-10-09;1250
2001-10-10;1350
2001-10-11;1271
2001-10-12;1230
2001-10-15;1334
2001-10-16;1372
2001-10-17;1288
2001-10-18;1613
2001-10-19;1235
2001-10-22;1274
2001-10-23;1438
2001-10-24;1226
2001-10-25;1291
2001-10-26;1409
2001-10-29;1378
2001-10-30;1182
2001-10-31;1257
2001-11-01;1174
2001-11-02;939
2001-11-05;987
2001-11-07;1033
2001-11-08;940
2001-11-09;984
2001-11-12;939
2001-11-13;1097
2001-11-14;1236
2001-11-15;1188
2001-11-16;1190
2001-11-19;1070
2001-11-20;1040
2001-11-21;963
2001-11-22;1029
2001-11-23;1133
2001-11-26;1142
2001-11-27;1107
2001-11-28;1062
2001-11-29;920
2001-11-30;868
2001-12-03;1126
2001-12-04;1324
2001-12-05;1168
2001-12-06;1068
2001-12-07;910
2001-12-10;1191
2001-12-11;1182
2001-12-12;1180
2001-12-13;1182
2001-12-14;1131
2001-12-17;1344
2001-12-18;1308
2001-12-19;1208
2001-12-20;1067
2001-12-21;812
2001-12-24;814
2001-12-26;842
2001-12-27;1430
2001-12-28;1086
2001-12-31;998
2002-01-02;1106
2002-01-03;1096
2002-01-04;990
2002-01-07;1155
2002-01-08;1303
2002-01-09;1423
2002-01-10;1367
2002-01-11;3108
2002-01-14;3202
2002-01-15;3753
2002-01-16;3868
2002-01-17;3876
2002-01-18;3800
2002-01-21;3762
2002-01-22;3861
2002-01-23;4046
2002-01-24;4161
2002-01-25;4204
2002-01-28;4154
2002-01-29;4173
2002-01-30;4308
2002-01-31;4333
2002-02-01;4123
2002-02-04;3877
2002-02-05;7837
2002-02-06;7772
2002-02-07;7889
2002-02-08;7961
2002-02-11;8091
2002-02-12;8091
2002-02-13;8104
2002-02-14;8138
2002-02-15;8217
2002-02-18;8141
2002-02-19;8142
2002-02-20;8060
2002-02-21;8071
2002-02-22;8059
2002-02-25;8095
2002-02-26;8126
2002-02-27;7938
2002-02-28;7724
2002-03-01;7911
2002-03-04;7794
2002-03-05;8528
2002-03-06;8514
2002-03-07;8442
2002-03-08;8165
2002-03-11;8306
2002-03-12;7982
2002-03-13;7824
2002-03-14;7499
2002-03-15;7329
2002-03-18;7263
2002-03-19;7097
2002-03-20;6926
2002-03-21;6641
2002-03-22;6652
2002-03-25;6669
2002-03-26;6261
2002-03-27;6219
2002-04-02;6146
2002-04-03;6395
2002-04-04;6575
2002-04-05;6780
2002-04-08;6915
2002-04-09;6917
2002-04-10;6721
2002-04-11;6472
2002-04-12;6357
2002-04-15;6382
2002-04-16;6374
2002-04-17;6412
2002-04-18;6362
2002-04-19;6194
2002-04-22;6153
2002-04-23;6238
2002-04-24;6269
2002-04-25;6204
2002-04-26;6272
2002-04-29;6349
2002-04-30;6380
2002-05-02;6306
2002-05-03;6512
2002-05-06;6277
2002-05-07;6328
2002-05-08;6077
2002-05-09;6199
2002-05-10;6725
2002-05-13;6642
2002-05-14;6578
2002-05-15;6547
2002-05-16;6553
2002-05-17;6418
2002-05-20;6305
2002-05-21;6117
2002-05-22;6018
2002-05-23;6198
2002-05-24;6360
2002-05-27;6398
2002-05-28;6271
2002-05-29;6090
2002-05-30;5819
2002-05-31;5752
2002-06-03;5963
2002-06-04;5874
2002-06-05;5676
2002-06-06;5479
2002-06-07;5305
2002-06-10;5326
2002-06-11;5241
2002-06-12;5250
2002-06-13;5260
2002-06-14;5205
2002-06-18;5286
2002-06-19;5291
2002-06-20;5321
2002-06-21;5280
2002-06-24;5135
2002-06-25;5297
2002-06-26;5356
2002-06-27;5354
2002-06-28;5441
2002-07-01;5396
2002-07-02;5268
2002-07-03;5351
2002-07-04;5170
2002-07-05;4909
2002-07-08;4888
2002-07-10;4876
2002-07-11;4919
2002-07-12;4539
2002-07-15;4757
2002-07-16;5018
2002-07-17;5150
2002-07-18;4986
2002-07-19;4887
2002-07-22;5018
2002-07-23;5082
2002-07-24;5100
2002-07-25;5251
2002-07-26;5275
2002-07-29;5330
2002-07-30;5597
2002-07-31;5461
2002-08-01;5345
2002-08-02;5204
2002-08-05;5416
2002-08-06;5534
2002-08-07;5501
2002-08-08;5818
2002-08-09;5644
2002-08-12;5669
2002-08-13;5848
2002-08-14;5819
2002-08-15;5911
2002-08-16;5854
2002-08-20;6023
2002-08-21;6036
2002-08-22;6334
2002-08-23;6108
2002-08-26;6189
2002-08-27;6253
2002-08-28;6362
2002-08-29;6440
2002-08-30;6367
2002-09-02;6275
2002-09-03;6369
2002-09-04;6442
2002-09-05;6467
2002-09-06;6585
2002-09-09;6692
2002-09-10;6876
2002-09-11;7033
